,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,PA_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2003-03-25,1874,343,222,1027,858,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,204.6999969482422,-0.09018143009605123,169,0.03146509341199607,121,0.01376597836774828,0.18249336870026525,0.049557522123893805,-0.12967687243087755,-0.11406932678475112,
2003-04-01,1827,405,207,989,867,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,181.3500061035156,-0.06677613574165299,122,-0.025080042689434364,198,0.04108858057630736,0.025323275862068964,0.12581699346405228,-0.11406932678475112,-0.032258097086450443,
2003-04-08,1890,375,76,1019,1177,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,175.5,0.0835978835978836,-158,-0.1532567049808429,299,0.055281882868089764,0.15482695810564662,0.35698447893569846,-0.032258097086450443,-0.06552706552706555,
2003-04-15,2019,417,40,1019,1299,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,164.0,0.13868251609707777,-280,-0.06455026455026455,377,0.04126984126984127,0.05263157894736842,0.17067833698030635,-0.06552706552706555,-0.004573170731707266,
2003-04-22,1941,469,96,783,1149,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,163.25,0.18856259659969088,-366,-0.04259534422981674,373,-0.001981178801386825,0.1997929606625259,0.1911504424778761,-0.004573170731707266,-0.06676872218367147,
2003-04-29,2156,501,40,915,1450,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,152.35000610351562,0.2481447124304267,-535,-0.08706852138073158,461,0.04533745492014426,0.18308668076109938,0.16266173752310537,-0.06676872218367147,0.04890053593552346,
2003-05-06,2196,516,171,948,1451,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,159.8000030517578,0.2290528233151184,-503,0.014842300556586271,345,-0.05380333951762523,0.0141725719049604,0.21251819505094613,0.04890053593552346,-0.008135187903198893,
2003-05-13,2234,529,235,897,1321,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,158.5,0.18979409131602507,-424,0.03597449908925319,294,-0.023224043715846996,0.08160504959422904,0.10078534031413612,-0.008135187903198893,0.08454254824280372,
2003-05-20,2355,650,267,911,1501,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,171.89999389648438,0.2505307855626327,-590,-0.07430617726051925,383,0.03983885407341092,0.08043117744610281,0.1668484187568157,0.08454254824280372,0.15037816766347367,
2003-05-27,2456,726,246,899,1592,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,197.75,0.28216612377850164,-693,-0.04373673036093418,480,0.04118895966029724,0.04134885588117222,0.09979423868312758,0.15037816766347367,-0.026548672566371723,
2003-06-03,2657,819,302,952,1760,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,192.5,0.30410237109522015,-808,-0.04682410423452769,517,0.01506514657980456,0.08148967551622419,0.13291703835860838,-0.026548672566371723,-0.06493506493506496,
2003-06-10,2621,909,335,876,1734,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,180.0,0.3273559710034338,-858,-0.01881821603312006,574,0.021452766277756868,0.03908045977011494,0.09887459807073955,-0.06493506493506496,-0.011111111111111072,
2003-06-17,2676,1014,335,877,1787,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,178.0,0.3400597907324365,-910,-0.019839755818389926,679,0.04006104540251812,0.02027027027027027,0.07783543365455893,-0.011111111111111072,-0.004494399167178753,
2003-06-24,2593,1067,335,776,1720,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,177.1999969482422,0.3640570767450829,-944,-0.012705530642750373,732,0.019805680119581465,0.0673076923076923,0.037803138373751786,-0.004494399167178753,0.06518060525210623,
2003-07-01,2618,1101,360,776,1751,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,188.75,0.3724216959511077,-975,-0.01195526417277285,741,0.003470883146934053,0.01226751088246933,0.040383299110198494,0.06518060525210623,-0.050331125827814516,
2003-07-08,2637,1091,315,756,1913,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,179.25,0.43875616230565034,-1157,-0.06951871657754011,776,0.013368983957219251,0.06819033345822405,0.03911806543385491,-0.050331125827814516,-0.025104602510460206,0.10312240987566673
2003-07-15,2608,1065,315,734,1806,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,174.75,0.4110429447852761,-1072,0.03223359878649981,750,-0.009859689040576413,0.05078740157480315,0.01884057971014493,-0.025104602510460206,-0.05035767125469426,0.11452687413157818
2003-07-22,2689,1107,316,774,1674,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,165.9499969482422,0.33469691335068796,-900,0.06595092024539877,791,0.01572085889570552,0.07026143790849673,0.030217849613492623,-0.05035767125469426,0.07472135813983072,0.12239008981797496
2003-07-29,2859,1157,353,854,1827,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,178.35000610351562,0.3403287862889122,-973,-0.02714763852733358,804,0.004834510970621049,0.08690787019768743,0.0576158940397351,0.07472135813983072,0.0008410086422834251,0.12990521728249005
2003-08-05,2894,1068,273,938,2057,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,178.5,0.3866620594333103,-1119,-0.05106680657572578,795,-0.0031479538300104933,0.10484140233722872,0.12602535421327368,0.0008410086422834251,-0.008403361344537785,0.13846377868751739
2003-08-12,3251,1223,268,976,2462,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,177.0,0.4570901261150415,-1486,-0.1268140981340705,955,0.055286800276434005,0.12885398487492727,0.10731052984574112,-0.008403361344537785,0.02259887005649719,0.14874204795937299
2003-08-19,3675,1439,270,1242,2952,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,181.0,0.46530612244897956,-1710,-0.06890187634573977,1169,0.0658258997231621,0.18025751072961374,0.12755997659449972,0.02259887005649719,0.1408839779005524,0.1586346752871732
2003-08-26,4259,1425,275,1132,3509,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,206.5,0.5581122329185255,-2377,-0.18149659863945578,1150,-0.0051700680272108845,0.14371902607196724,0.011176470588235295,0.1408839779005524,-0.032687651331719136,0.17074005582145663
2003-09-02,4710,1404,229,1257,4044,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,199.75,0.5917197452229299,-2787,-0.09626672927917351,1175,0.005869922517022775,0.1245048104131296,0.04102878138395591,-0.032687651331719136,0.15594490060818234,0.1831218113920882
2003-09-09,4881,1687,377,870,4132,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,230.8999938964844,0.6683056750665847,-3262,-0.10084925690021232,1310,0.028662420382165606,0.09496201519392243,0.20881782945736435,0.15594490060818234,-0.04200951582783863,0.1969842074970738
2003-09-16,5396,2375,403,842,4593,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,221.1999969482422,0.6951445515196442,-3751,-0.10018438844499078,1972,0.1356279450932186,0.08997240110395584,0.2570194384449244,-0.04200951582783863,-0.021247726098938102,0.21082199483103406
2003-09-23,5576,2495,407,856,4818,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,216.5,0.710545193687231,-3962,-0.03910303928836175,2088,0.021497405485544848,0.04212195981670779,0.042729152308752585,-0.021247726098938102,-0.006235594011619439,0.22432802723255293
2003-09-30,5427,1797,528,1459,4664,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,215.1499938964844,0.5905656900681776,-3205,0.1357604017216643,1269,-0.14687948350071736,0.1236322064347542,0.352258064516129,-0.006235594011619439,-0.04461999124827054,0.23396586046506934
2003-10-07,5520,1836,295,1450,4923,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,205.5500030517578,0.6291666666666667,-3473,-0.04938271604938271,1541,0.05011977151280634,0.042052408598776084,0.12763960581886438,-0.04461999124827054,0.0024324981395116296,0.2440992144702385
2003-10-14,5881,2154,295,1558,5406,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,206.0500030517578,0.654310491413025,-3848,-0.06793478260869565,1859,0.057608695652173914,0.08486502010338885,0.12984891792568395,0.0024324981395116296,-0.03494295967777128,0.25435449639380814
2003-10-21,5334,2215,295,1810,4818,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,198.8500061035156,0.5639295088113986,-3008,0.14283285155585784,1920,0.010372385648699202,0.12673506336753168,0.024302788844621514,-0.03494295967777128,0.004274532655956342,0.2619051064527738
2003-10-28,5523,2341,295,1830,4929,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,199.6999969482422,0.561108093427485,-3099,-0.01706036745406824,2046,0.023622047244094488,0.019381565320313657,0.04779969650986343,0.004274532655956342,0.041562359432128604,0.2690289870950288
2003-11-04,5794,2471,295,1813,5092,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,208.0,0.5659302726958924,-3279,-0.03259098316132537,2176,0.023537932283179432,0.02606806661839247,0.046999276934201015,0.041562359432128604,-0.04206730769230771,0.275933668155514
2003-11-11,5899,2567,295,1793,5228,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,199.25,0.5823020850991694,-3435,-0.026924404556437694,2272,0.016568864342423197,0.022219057114371173,0.033542976939203356,-0.04206730769230771,0.021079031107865465,0.2828965867224153
2003-11-18,6301,2660,295,1804,5362,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,203.4499969482422,0.5646722742421838,-3558,-0.020850991693507376,2365,0.015765383963383624,0.02023444041306168,0.03147208121827411,0.021079031107865465,-0.07151635915462473,0.289158268667299
2003-11-25,6123,2686,329,1808,5352,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,188.8999938964844,0.5788012412216234,-3544,0.0022218695445167433,2357,-0.0012696397397238533,0.0019553072625698325,0.01990049751243781,-0.07151635915462473,0.020381187019123725,0.29545485502717567
2003-12-02,6172,2680,550,1621,4895,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,192.75,0.5304601425793908,-3274,0.04409603135717785,2130,-0.03707333006696064,0.09883364027010436,0.07027863777089784,0.020381187019123725,0.10661480182494332,0.3004549675282866
2003-12-09,6515,3141,558,1390,5416,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,213.3000030517578,0.6179585571757483,-4026,-0.1218405703175632,2583,0.07339598185353208,0.11049074346165148,0.12679102460124358,0.10661480182494332,-0.048288808740703515,0.30706962564594203
2003-12-16,6960,3609,573,1469,6009,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,203.0,0.6522988505747126,-4540,-0.07889485801995395,3036,0.06953184957789715,0.08986359989301952,0.11549497847919656,-0.048288808740703515,-0.007635483013585298,0.3141151200322435
2003-12-30,7328,3906,564,1367,6487,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,201.4499969482422,0.6986899563318777,-5120,-0.08333333333333333,3342,0.04396551724137931,0.07384772090654444,0.06845637583892618,-0.007635483013585298,0.015884820038316372,0.32180661675823613
2004-01-06,7565,3985,564,1365,6689,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,204.6499938964844,0.7037673496364838,-5324,-0.027838427947598252,3421,0.01078056768558952,0.025329029053886266,0.017366454165750715,0.015884820038316372,0.09064257808451592,0.32929604289310377
2004-01-13,8415,4552,564,1281,7636,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,223.1999969482422,0.7551990493166963,-6355,-0.1362855254461335,3988,0.07495042961004626,0.11562184591230235,0.11082877247849883,0.09064257808451592,0.006944458212144289,0.3374864853243267
2004-01-20,8860,4887,564,1274,8058,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,224.75,0.7656884875846501,-6784,-0.050980392156862744,4323,0.0398098633392751,0.045970852978997,0.06145661346541919,0.006944458212144289,0.08565072302558407,0.3585183371402054
2004-01-27,10769,5832,698,1103,9476,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,244.0,0.7775095180611014,-8373,-0.17934537246049662,5134,0.09153498871331829,0.15020323281973721,0.1652373660030628,0.08565072302558407,-0.02786886496622054,0.3768652147444461
2004-02-03,11040,5947,732,1149,9304,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,237.1999969482422,0.738677536231884,-8155,0.020243290927662735,5215,0.007521589748351751,0.020855256864058164,0.022308728851624493,-0.02786886496622054,0.018128174987692258,0.3947892090132489
2004-02-10,11348,6585,826,918,9728,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,241.5,0.7763482551991541,-8810,-0.059329710144927536,5759,0.04927536231884058,0.0615254555701672,0.09877209553366617,0.018128174987692258,0.01863354037267073,0.41048556401177894
2004-02-17,12570,6779,782,1171,10600,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,246.0,0.7501193317422434,-9429,-0.05454705675008812,5997,0.020972858653507225,0.09557386798063036,0.03147731781510382,0.01863354037267073,-0.047154496355754416,0.424745549323041
2004-02-24,12383,6835,780,1472,10664,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,234.3999938964844,0.7423080029072116,-9192,0.018854415274463007,6055,0.004614160700079554,0.030075807514831906,0.007616546290216678,-0.047154496355754416,0.014718482495160723,0.43946367537563624
2004-03-02,12245,6550,865,1885,10691,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,237.8500061035156,0.7191506737443855,-8806,0.03117176774610353,5685,-0.029879673746265042,0.03498727735368957,0.049898853674983146,0.014718482495160723,0.08787047870576226,0.4542536628192556
2004-03-09,11897,7009,946,721,10156,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,258.75,0.793057073211734,-9435,-0.051367905267456104,6063,0.03086974275214373,0.15620115840764917,0.0678818353236958,0.08787047870576226,0.08057973373339378,0.47027630578646684
2004-03-16,11283,6794,1104,761,9706,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,279.6000061035156,0.7927856066648941,-8945,0.04118685382869631,5690,-0.031352441792048415,0.0468137957389892,0.04722714611293998,0.08057973373339378,0.03379821703564079,0.4860089169472777
2004-03-23,10798,6158,1109,795,9222,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,289.04998779296875,0.7804223004260048,-8427,0.0459097757688558,5049,-0.05681113179119029,0.0517120894479385,0.08820696298334939,0.03379821703564079,0.0001730438078506591,0.5020097769339136
2004-03-30,11278,6633,1045,729,9760,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,289.1000061035156,0.8007625465508069,-9031,-0.0559362844971291,5588,0.049916651231709575,0.05758413576127371,0.07020057306590258,0.0001730438078506591,0.09183669053075771,0.519143314946353
2004-04-06,11855,7100,1083,661,10387,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,315.6499938964844,0.8204133277098271,-9726,-0.06162440148962582,6017,0.038038659336761836,0.06290731354091238,0.06171330807772211,0.09183669053075771,0.004276908378329836,0.5362046507819584
2004-04-20,11384,6917,1129,834,9620,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,317.0,0.7717849613492621,-8786,0.079291438211725,5788,-0.019316743989877688,0.0899177348383394,0.02846134725329356,0.004276908378329836,-0.12318608136583198,0.5494390176617926
2004-04-27,9341,5290,1200,1013,7665,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,277.95001220703125,0.7121293223423616,-6652,0.18745607870695713,4090,-0.14915671117357696,0.24590919566720443,0.26163328197226504,-0.12318608136583198,-0.07969062127176663,0.5604668408588173
2004-05-04,8922,4532,1078,1578,7315,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,255.8000030517578,0.6430172607038781,-5737,0.09795525104378547,3454,-0.0680869285943689,0.10288991341504554,0.1568627450980392,-0.07969062127176663,-0.08014073399308008,0.5692063536300517
2004-05-11,8684,3712,1078,2179,7060,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,235.3000030517578,0.5620681713496085,-4881,0.0959426137637301,2634,-0.09190764402600314,0.09265071977486741,0.17118997912317327,-0.08014073399308008,0.02082445317863657,0.5752433432246513
2004-05-18,8938,3808,1078,2246,7068,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,240.1999969482422,0.5394942940255091,-4822,0.006794104099493321,2730,0.011054813450023031,0.008052394245222246,0.019647973802701595,0.02082445317863657,0.0543297386243089,0.5812133715075435
2004-05-25,8882,3464,1078,2305,6897,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,253.25,0.5170006755235307,-4592,0.025732826135600805,2386,-0.03848735735063773,0.024994566398609,0.07573756054601496,0.0543297386243089,-0.004146112741393093,0.5875058058192264
2004-06-01,8495,3758,906,2037,6965,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,252.1999969482422,0.5801059446733372,-4928,-0.037829317721233956,2852,0.05246566088718757,0.03732503888024884,0.09991423670668954,-0.004146112741393093,-0.04143535715580038,0.5938437896482782
2004-06-08,7904,3893,437,1451,6915,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,241.75,0.6912955465587044,-5464,-0.06309593878752207,3456,0.0711006474396704,0.07602199378436529,0.1394919168591224,-0.04143535715580038,-0.07900726413036441,0.6017116631632822
2004-06-15,7765,3881,462,1350,6683,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,222.6499938964844,0.6867997424339987,-5333,0.016573886639676114,3419,-0.004681174089068826,0.041454002240756876,0.008519456596822473,-0.07900726413036441,0.0006737442595357024,0.6090712279967202
2004-06-22,7757,3621,491,1545,6578,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,222.8000030517578,0.6488333118473637,-5033,0.038634900193174504,3130,-0.03721828718609144,0.0369321679182568,0.07028210116731518,0.0006737442595357024,-0.01481150362009287,0.6152534845514113
2004-06-29,7876,3562,491,1664,6591,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,219.5,0.6255713560182834,-4927,0.013665076704911693,3071,-0.007606033260281036,0.015990308903694732,0.014557118184061189,-0.01481150362009287,0.007061517320081201,0.620744091576139
2004-07-06,7867,3461,562,1699,6496,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,221.0500030517578,0.6097622982077031,-4797,0.016505840528186898,2899,-0.021838496698831894,0.01586333129957291,0.04275416355953269,0.007061517320081201,0.004297656345291889,0.6254691919888817
2004-07-13,7981,3490,606,1677,6573,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,222.0,0.6134569602806665,-4896,-0.01258421253336723,2884,-0.0019066988686920045,0.012,0.017822265625,0.004297656345291889,0.04436939686268282,0.6301044855336809
2004-07-20,8095,3658,609,1744,6916,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,231.8500061035156,0.6389129092032119,-5172,-0.0345821325648415,3049,0.020674100989850897,0.04734411085450346,0.040074994141082725,0.04436939686268282,-0.053698563205870964,0.6339536537432495
2004-07-27,8226,3616,690,1813,6758,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,219.3999938964844,0.6011427182105519,-4945,0.02804200123533045,2926,-0.01519456454601606,0.026484657566211645,0.028564793311658152,-0.053698563205870964,-0.008659954190248675,0.6376094186168124
2004-08-03,8395,3751,744,1828,6794,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,217.5,0.5915425848719476,-4966,-0.002552881108679796,3007,0.009846827133479213,0.005915100904662491,0.042046718576195775,-0.008659954190248675,0.0022988505747125743,0.6425487584537598
2004-08-10,8667,3779,796,1834,6814,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,218.0,0.5745932848736587,-4980,-0.0016676593210244192,2983,-0.0028588445503275758,0.0030064754856614245,0.017486338797814208,0.0022988505747125743,0.002981623378368825,0.6470538449650048
2004-08-17,8613,3936,905,1610,6643,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,218.6499938964844,0.5843492395216533,-5033,-0.006115149417330103,3031,0.005538248528902735,0.04786138373924633,0.05494732493286511,0.002981623378368825,-0.010290418764270393,0.6508555215051653
2004-08-24,8786,4045,887,1622,7050,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,216.3999938964844,0.6178010471204188,-5428,-0.04586090792987345,3158,0.01474515267618716,0.04831642066420664,0.025750202757502026,-0.010290418764270393,-0.009704209352848325,0.6539461161398841
2004-08-31,9431,4111,1005,2192,7455,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,214.3000030517578,0.5580532287138161,-5263,0.018779877077168224,3106,-0.005918506715228773,0.10106768943713071,0.03596559812353401,-0.009704209352848325,-0.04013068586582591,0.6557297143372848
2004-09-07,8786,4325,1291,1655,6672,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,205.6999969482422,0.5710220805827453,-5017,0.02608419043579684,3034,-0.007634397200721026,0.15852047556142668,0.08903133903133903,-0.04013068586582591,0.02479341846951444,0.6559779806385198
2004-09-14,8761,4334,1388,1604,6448,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,210.8000030517578,0.5529049195297341,-4844,0.019690416571818803,2946,-0.010015934441156385,0.03415300546448088,0.018524991261796575,0.02479341846951444,-0.006641409558849287,0.6552315416828814
2004-09-21,8773,4601,1686,1511,6262,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,209.3999938964844,0.5415479311523994,-4751,0.010615226572309098,2915,-0.0035384088574363657,0.03589347742184485,0.08986798154922856,-0.006641409558849287,0.05348621076162896,0.6527938927614547
2004-09-28,9471,5116,1615,1515,7138,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,220.6000061035156,0.5937071059022279,-5623,-0.09939587370340819,3501,0.06679585090618945,0.1016988327747602,0.08705987223295202,0.05348621076162896,0.019718906275484782,0.6508431726534276
2004-10-05,9641,5313,1503,1321,7533,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,224.9499969482422,0.6443315008816513,-6212,-0.06218984267764756,3810,0.032625910674691165,0.06652360515021459,0.04533450704225352,0.019718906275484782,-0.007779506662552449,0.6495698324071664
2004-10-12,10332,5970,1256,997,8471,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,223.1999969482422,0.7233836624080526,-7474,-0.1308992843066072,4714,0.09376620682501816,0.13329108576256865,0.12510379186271797,-0.007779506662552449,-0.029345892210189684,0.6521240241829331
2004-10-19,9878,5740,1092,1000,8185,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,216.6499938964844,0.7273739623405547,-7185,0.02797135114208285,4648,-0.006387921022067364,0.03146434403919434,0.05766978922716628,-0.029345892210189684,-0.007154340349113442,0.6540126260228157
2004-10-26,10067,5936,1162,886,8313,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,215.1000061035156,0.737757027912983,-7427,-0.024498886414253896,4774,0.012755618546264426,0.026307207305141862,0.03747534516765286,-0.007154340349113442,-0.021385429906970232,0.6556173671093533
2004-11-02,9594,5437,1301,923,7502,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,210.5,0.6857410881801126,-6579,0.08423562133704182,4136,-0.06337538492102911,0.10065281899109792,0.09468685069753636,-0.021385429906970232,0.023515424932266882,0.6579598974818286
2004-11-09,10151,5643,1489,1050,7855,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,215.4499969482422,0.6703773027287951,-6805,-0.023556389410047947,4154,0.001876172607879925,0.05390230207748456,0.05524397083567022,0.023515424932266882,0.030401499858602188,0.6600612284299306
2004-11-16,11410,6309,1623,1279,8668,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,222.0,0.647589833479404,-7389,-0.057531277706629885,4686,0.052408629691655995,0.1047552025736403,0.10085728693898134,0.030401499858602188,-0.021621635368278436,0.6616316045988443
2004-11-23,12694,6922,1598,1425,9549,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,217.1999969482422,0.639987395619978,-8124,-0.06441717791411043,5324,0.055915863277826466,0.0935848368871879,0.07488262910798123,-0.021621635368278436,-0.030386698607087648,0.6627409374934754
2004-11-30,13693,6832,1582,3290,11045,075651 ,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,210.6000061035156,0.5663477689330315,-7755,0.02906885142587049,5250,-0.00582952576020167,0.23446110917335194,0.012598050867601617,-0.030386698607087648,-0.010208970052055122,0.6627731585452223
